l,a,b,x,y,z,label
69.0575,2.2738,-3.06686,0.0171763,0.0405099,0.0832717,evaporated milk
70.4582,4.65801,-2.02849,0.0218723,0.0527233,0.0701688,evaporated milk
74.467,8.63842,3.69011,0.0145453,0.0558826,0.0880798,evaporated milk
54.0616,26.302,5.2571,0.044715,0.054554,0.089923,evaporated milk
60.0003,14.3434,10.3649,0.056833,0.0596254,0.10558,evaporated milk
61.0676,8.32259,6.10211,0.0626848,0.0746633,0.111706,evaporated milk
76.5882,3.11344,-3.03475,0.0416185,0.070872,0.103737,evaporated milk
76.5915,3.40591,-4.23269,0.0151385,0.0585914,0.0632589,evaporated milk
72.5977,3.29311,-2.10589,0.0376864,0.0454059,0.117422,evaporated milk
72.9117,7.32933,1.707,0.0507514,0.0635065,0.101785,evaporated milk
37.0631,1.49959,-0.224508,0.00914311,0.0346354,0.0616764,condensed soup
34.7812,35.5623,10.7367,0.0542009,0.0636753,0.0809461,condensed soup
79.7597,2.10238,6.28938,0.0197186,0.0224428,0.071749,condensed soup
52.4114,20.6374,32.8513,0.0169069,0.0386943,0.0736343,condensed soup
36.0724,34.9798,14.1521,0.038048,0.0575176,0.0750419,condensed soup
49.4695,11.8374,16.0518,0.0103939,0.0228289,0.127099,condensed soup
28.6016,40.2927,18.6981,0.01833952,0.0495094,0.0705329,condensed soup
29.3569,22.4382,13.668,0.0164434,0.0451146,0.0584785,condensed soup
40.2834,2.83489,-1.742036,0.0119532,0.0483645,0.0598714,condensed soup
49.496,10.3457,7.64503,0.0325145,0.0755037,0.0966962,condensed soup
77.3583,4.05754,4.02639,0.0172539,0.0764152,0.0850167,condensed soup
72.4204,1.08999,8.88975,0.0277964,0.0665427,0.103852,condensed soup
36.6984,7.04594,-0.549788,0.0141943,0.0498945,0.0733726,condensed soup
68.9625,7.16829,1.52588,0.0272844,0.0565761,0.096095,condensed soup
69.3558,4.54075,4.41804,0.0253163,0.0743992,0.132569,condensed soup
54.8423,17.908,8.45567,0.0207587,0.0653424,0.0916097,condensed soup
38.9293,4.45092,-1.68212,0.00845644,0.0453348,0.0585996,condensed soup
38.214,35.6766,12.7718,0.0208877,0.0606448,0.0880696,condensed soup
37.6732,3.47305,0.019251,0.00985861,0.0473638,0.0554207,condensed soup
38.2418,36.0044,9.98764,0.0239213,0.0338763,0.0607072,condensed soup
44.972,32.1208,13.3893,0.0154223,0.0409021,0.0623769,condensed soup
31.3843,35.9538,15.0573,0.0239227,0.0524979,0.066667,condensed soup
77.0219,2.50357,5.88987,0.0389413,0.0585805,0.109082,condensed soup
61.7813,15.3972,22.6921,0.0225666,0.064162,0.0869307,condensed soup
52.8439,40.9343,12.7067,0.00649333,0.0305035,0.0383479,condensed soup
40.8849,39.3617,15.2666,0.0268309,0.054715,0.073509,condensed soup
34.8933,40.9713,13.622,0.0234492,0.0827976,0.107379,condensed soup
52.1687,1839812,19.4897,0.0291203,0.0481256,0.0726659,condensed soup
53.6807,15.6604,21.6389,0.0215528,0.0409081,0.0690878,condensed soup
57.7225,5.19278,11.569,0.0105811,0.0442128,0.136174,condensed soup
92.2526,5.54015,8.87312,0.0369617,0.0803746,0.0981227,condensed soup
73.6074,3.45504,2081267,0.0223689,0.0558535,0.0764609,condensed soup
57.3288,29.0359,7.00013,0.0137489,0.0317961,0.0534459,condensed soup
77.4689,5.05453,9.81371,0.0202193,0.0599326,0.0637752,condensed soup
39.1407,38.8042,10.1713,0.0178007,0.0335118,0.0628374,condensed soup
52.08014,0.666917,3.69659,0.0581598,0.0638157,0.0721144,condensed soup
64.2549,6.31682,13.4906,0.0219749,0.0645856,0.0901865,condensed soup
50.5073,16.7046,28.7263,0.012755,0.0471793,0.0544648,condensed soup
57.3467,2.10125,7.5444,0.0075565,0.0385751,0.0943926,condensed soup
92.9899,3.1866,2.61023,0.0206819,0.0461978,0.0838105,condensed soup
55.9595,15.3534,5.48411,0.0581619,0.070631,0.083806,condensed soup
50.2694,0.560362,2.76625,0.0237484,0.0327679,0.0648277,condensed soup
68.9112,5.58005,6.90741,0.0260084,0.0707158,0.0868074,condensed soup
32.9745,23.5084,18.0301,0.0092907,0.0437656,0.048252,condensed soup
47.056,19.062,19.1805,0.0275392,0.0464178,0.0668317,condensed soup
37.9626,37.8832,19.0474,0.0287009,0.059148,0.0797732,condensed soup
46.8214,19.5263,22.7048,0.0203692,0.0592155,0.0634534,condensed soup
72.2942,4.02484,8.34544,0.0204094,0.0593331,0.0960642,condensed soup
40.7456,37.1061,11.6794,0.0178717,0.0360157,0.0598357,condensed soup
56.7576,5.95073,9.00002,0.0381204,0.0759956,0.0899068,condensed soup
40.1606,40.4495,15.116,0.0204715,0.0598488,0.087464,condensed soup
56.6185,14.8821,6.33705,0.0574026,0.0803069,0.140363,condensed soup
54.5968,9.90435,4.48366,0.0535437,0.058632,0.0844184,condensed soup
67.6584,5.5293,6.91991,0.0234111,0.0621148,0.0867018,condensed soup
62.8785,1.88735,2.09307,0.0321625,0.060998,0.0719346,condensed soup
75.0578,3.54606,1.83286,0.0162706,0.0591559,0.0681657,condensed soup
68.838,2.57015,1.57061,0.0197806,0.0464623,0.139846,condensed soup
56.1815,11.8868,11.6792,0.0221548,0.0442281,0.0602982,condensed soup
35.0227,31.2257,19.4926,0.020329,0.0671269,0.0706058,condensed soup
43.0017,9.64727,11.4284,0.0338012,0.0440799,0.076947,condensed soup
37.7555,30.5384,32.1151,0.0198659,0.0411604,0.0682093,condensed soup
76.9536,4.04394,3.31736,0.0184476,0.0495088,0.072589,condensed soup
35.2789,39.9969,18.2452,0.0390794,0.0619581,0.0989756,condensed soup
